사용본거지법정동명	동별 총 대수	휘발유	경유	엘피지	전기	휘발유_유연	휘발유_무연	CNG	하이브리드_휘발유_전기	하이브리드_경유_전기	하이브리드_LPG+전기	하이브리드_CNG+전기	수소	기타연료
서울특별시 성동구 용답동	8,227 	1,446 	3,673 	1,176 	19 	4 	1,803 	6 	92 		3 		1 	4 
서울특별시 광진구 중곡동	22,241 	3,925 	9,076 	2,496 	20 	12 	6,300 	23 	348 		16 			25 
서울특별시 광진구 능동	2,993 	632 	1,161 	224 	7 	1 	907 	1 	56 		3 			1 
서울특별시 광진구 구의동	22,722 	5,028 	8,186 	1,797 	32 	11 	7,079 	9 	528 		12 			40 
서울특별시 광진구 광장동	11,742 	3,317 	3,721 	507 	18 	2 	3,734 	11 	409 		3 		1 	19 
서울특별시 광진구 자양동	30,921 	6,378 	12,812 	2,630 	48 	14 	8,270 	27 	683 		22 		1 	36 
서울특별시 광진구 노유동	1 	1 												
서울특별시 광진구 화양동	3,946 	802 	1,475 	470 	8 		1,134 		50 		1 			6 
서울특별시 광진구 군자동	5,194 	989 	2,014 	604 	5 	1 	1,481 	1 	87 		2 			10 
서울특별시 동대문구 신설동	1,317 	245 	620 	85 	2 	1 	343 		15 					6 
서울특별시 동대문구 용두동	8,264 	1,512 	3,650 	680 	29 	8 	2,214 	13 	141 		2 			15 
서울특별시 동대문구 제기동	6,397 	1,288 	2,624 	557 	5 	3 	1,809 	5 	94 		3 			9 
서울특별시 동대문구 전농동	13,128 	2,701 	5,029 	1,234 	15 	5 	3,850 	3 	265 		9 		1 	16 
서울특별시 동대문구 답십리동	18,386 	3,713 	7,131 	1,782 	20 	6 	5,269 	11 	411 		9 			34 
서울특별시 동대문구 장안동	23,103 	4,669 	9,177 	2,473 	18 	7 	6,298 	7 	398 		17 			39 
서울특별시 동대문구 청량리동	5,523 	1,097 	2,095 	669 	6 		1,558 	1 	87 		4 			6 
서울특별시 동대문구 회기동	2,134 	484 	765 	165 	1 	2 	673 		34 		2 		2 	6 
서울특별시 동대문구 휘경동	9,862 	1,870 	3,800 	1,039 	8 	1 	2,929 	12 	179 		9 			15 
서울특별시 동대문구 이문동	9,920 	2,058 	3,704 	958 	11 	5 	2,977 	1 	178 		10 			18 
서울특별시 중랑구 면목동	35,838 	6,255 	14,515 	4,279 	26 	9 	9,925 	270 	497 		21 		1 	40 
서울특별시 중랑구 상봉동	13,582 	2,403 	5,109 	1,718 	18 	4 	4,058 	4 	239 		10 			19 
서울특별시 중랑구 중화동	12,471 	2,156 	5,120 	1,485 	12 	2 	3,521 	2 	150 		6 			17 
서울특별시 중랑구 묵동	16,834 	3,285 	6,784 	1,597 	18 	4 	4,837 		280 	1 	9 			19 
서울특별시 중랑구 망우동	15,011 	2,261 	5,890 	3,016 	15 	5 	3,632 	8 	164 		9 			11 
서울특별시 중랑구 신내동	19,848 	3,446 	7,446 	2,686 	51 	2 	5,694 	110 	357 		12 		1 	43 
서울특별시 성북구 성북동	3,332 	929 	1,105 	221 	13 	1 	965 	1 	91 		1 			5 
서울특별시 성북구 성북동1가	400 	103 	138 	18 	1 		131 		8 		1 			
서울특별시 성북구 돈암동	12,098 	3,024 	3,903 	818 	18 	3 	3,972 	1 	334 		3 			22 
서울특별시 성북구 동소문동1가	283 	57 	114 	20 			83 		7 					2 
서울특별시 성북구 동소문동2가	101 	26 	31 	9 			34 							1 
서울특별시 성북구 동소문동3가	40 	9 	17 	4 			10 							
서울특별시 성북구 동소문동4가	834 	187 	292 	58 	2 		278 		13 		2 			2 
서울특별시 성북구 동소문동5가	361 	82 	145 	20 			105 		9 					
서울특별시 성북구 동소문동6가	484 	81 	246 	35 			119 		3 					
서울특별시 성북구 동소문동7가	659 	164 	199 	39 	1 		233 		19 		2 			2 
서울특별시 성북구 삼선동1가	964 	213 	367 	90 	1 	1 	281 		9 					2 
서울특별시 성북구 삼선동2가	1,858 	422 	677 	139 	1 	1 	560 	1 	49 		2 			6 
서울특별시 성북구 삼선동3가	1,156 	234 	449 	87 			352 		32 		1 			1 
서울특별시 성북구 삼선동4가	724 	156 	238 	56 	1 	1 	256 		16 					
서울특별시 성북구 삼선동5가	987 	169 	434 	67 	24 		273 	9 	9 					2 
서울특별시 성북구 동선동1가	218 	51 	89 	14 			63 		1 					
서울특별시 성북구 동선동2가	334 	63 	124 	29 	1 	1 	105 	8 	3 					
서울특별시 성북구 동선동3가	546 	120 	183 	54 	1 		175 		11 					2 
서울특별시 성북구 동선동4가	545 	106 	221 	49 			160 		8 		1 			
서울특별시 성북구 동선동5가	483 	95 	159 	47 	1 	1 	171 		9 					
서울특별시 성북구 안암동1가	832 	183 	275 	61 	1 	1 	286 		24 					1 
서울특별시 성북구 안암동2가	397 	66 	164 	48 			111 		7 		1 			
서울특별시 성북구 안암동3가	1,014 	204 	391 	84 			320 		13 		1 			1 
서울특별시 성북구 안암동4가	307 	53 	131 	25 			93 		4 		1 			
서울특별시 성북구 안암동5가	649 	136 	247 	54 	3 		192 		14 		1 			2 
서울특별시 성북구 보문동4가	346 	63 	163 	21 	4 		90 		5 					
서울특별시 성북구 보문동5가	466 	63 	240 	41 			116 		5 					1 
서울특별시 성북구 보문동6가	1,723 	359 	678 	108 			537 		38 		1 			2 
서울특별시 성북구 보문동7가	302 	57 	154 	14 			75 		1 		1 			
서울특별시 성북구 보문동1가	165 	27 	73 	12 			49 		4 					
서울특별시 성북구 보문동2가	628 	103 	179 	217 			123 		6 					
서울특별시 성북구 보문동3가	875 	236 	285 	53 	1 		270 		28 					2 
서울특별시 성북구 정릉동	23,874 	4,644 	8,424 	2,321 	46 	7 	7,209 	659 	514 		7 	3 	2 	38 
서울특별시 성북구 길음동	13,864 	3,356 	4,570 	917 	19 	8 	4,585 	10 	370 		3 			26 
서울특별시 성북구 종암동	10,599 	2,207 	4,073 	861 	13 	3 	3,181 	3 	232 		6 		1 	19 
서울특별시 성북구 하월곡동	11,567 	2,474 	4,443 	925 	14 	3 	3,423 	3 	253 		9 			20 
서울특별시 성북구 상월곡동	2,692 	505 	1,013 	319 	3 	1 	800 		48 		2 			1 
서울특별시 성북구 장위동	11,668 	2,005 	4,793 	1,459 	11 	4 	3,183 	10 	180 		11 			12 
서울특별시 성북구 석관동	9,392 	1,661 	3,800 	1,095 	6 	4 	2,575 	85 	152 		3 			11 
서울특별시 강북구 미아동	33,107 	6,259 	12,552 	3,656 	45 	15 	9,939 	12 	570 	1 	16 		1 	41 
서울특별시 강북구 번동	13,755 	2,258 	5,089 	2,141 	10 	1 	3,832 	243 	157 		10 			14 
서울특별시 강북구 수유동	26,714 	4,637 	10,444 	3,223 	34 	7 	7,628 	299 	398 		21 		1 	22 
서울특별시 강북구 우이동	3,273 	597 	1,234 	330 	6 	1 	896 	146 	60 		3 			
서울특별시 도봉구 쌍문동	21,148 	3,889 	7,889 	2,500 	32 	8 	6,439 	19 	333 		15 			24 
서울특별시 도봉구 방학동	23,390 	4,313 	8,651 	3,169 	48 	9 	6,751 	6 	393 		10 			40 
서울특별시 도봉구 창동	37,180 	7,022 	13,227 	4,818 	38 	14 	11,232 	39 	709 		26 		2 	53 
서울특별시 도봉구 도봉동	15,376 	2,658 	5,658 	2,305 	10 	5 	4,190 	301 	210 		12 	8 		19 
서울특별시 노원구 월계동	23,431 	4,407 	8,266 	3,077 	21 	15 	7,003 	147 	430 		18 			47 
서울특별시 노원구 공릉동	24,075 	4,539 	8,729 	2,994 	26 	6 	7,119 	70 	530 	1 	19 		1 	41 
